station_number,start_date,end_date,closed_info,remarks
19,12-30,1-5,年末年始,
6,4-1,10-31,定休日なし,
6,11-1,3-31,月曜日,月曜日が祝日の場合は翌日
6,12-31,1-5,年末年始,
34,4-1,10-31,定休日なし,
34,11-1,3-31,月曜日,月曜日が祝日の場合は翌平日
34,12-31,1-5,年末年始,
106,12-31,1-1,年末年始,
117,3-20,12-29,定休日なし,
117,1-4,3-19,水曜日,
117,12-30,1-1,年末年始,
113,1-4,12-29,月曜日,月曜日が祝日の場合は翌平日
113,12-29,1-3,年末年始,
41,4-1,10-31,定休日なし,
41,11-1,3-31,月曜日,
41,12-31,1-3,年末年始,
62,12-30,1-5,年末年始,
21,12-30,1-3,年末年始,
61,1-4,12-29,月曜日,月曜日が祝日の場合は翌日
61,12-29,1-3,年末年始,
121,12-31,1-3,年末年始,
116,12-31,1-1,年末年始,
23,12-30,1-3,年末年始,
42,12-1,3-31,日曜日,
42,12-30,1-4,年末年始,
25,12-30,1-3,年末年始,
120,12-31,1-3,年末年始,
56,12-30,1-4,年末年始,
56,1-5,12-29,月曜日,月曜日が祝日の場合は翌日
90,11-1,3-31,火曜日,
17,1-1,12-31,11月中旬に4日間,
110,3-1,3-31,第2または第3月曜日,
110,4-1,4-30,第2月曜日,
110,4-1,4-30,第2火曜日,
110,4-1,4-30,第2水曜日,
110,5-1,5-31,第1火曜日,
110,6-1,6-30,第2または第3月曜日,
110,9-1,11-30,第2または第3月曜日,
110,12-1,12-31,第2月曜日,
110,12-1,12-31,第2火曜日,
110,12-1,12-31,第2水曜日,変更する場合があるため要問合せ
2,12-31,1-3,年末年始,
58,12-31,1-4,年末年始,
60,12-31,1-4,年末年始,
60,1-5,12-30,月曜日,月曜日が祝日の場合は翌日
46,12-31,1-4,年末年始,
130,1-1,12-31,第3火曜日,祝日の場合は翌日
26,1-1,12-31,定休日なし,
119,12-30,1-3,年末年始,
119,1-4,2-28,水曜日,
119,3-1,12-29,定休日なし,
1,12-30,1-4,年末年始,
1,1-5,12-29,月曜日,月曜日が祝日の場合は翌日
71,12-31,1-2,年末年始,
115,5-1,10-31,定休日なし,
115,11-1,4-30,"第1,第3水曜日",
115,1-1,1-3,年末年始,12月31日は10:00～15:00
91,1-6,2-28,火曜日,
91,12-30,1-5,年末年始,
14,5-1,10-31,定休日なし,
14,11-1,4-30,月曜日,月曜日が祝日の場合は翌日（4月最終週月曜日は営業）
14,12-31,1-3,年末年始,
35,12-31,1-3,年末年始,
57,4-1,10-31,定休日なし,
57,11-1,3-31,火曜日,
57,12-31,1-1,年末年始,
88,11-1,3-31,火曜日,
88,12-31,1-5,年末年始,
49,4月中旬,11月上旬,定休日なし,
49,11月上旬,4月中旬,月曜日,月曜日が祝日の場合は翌日
49,12-28,1-3,年末年始,
39,4-1,11-15,定休日なし,
39,11-16,3-31,火曜日,火曜日が祝日の場合は除く
39,12-31,1-5,年末年始,
65,12-31,1-4,年末年始,
104,11-1,3-31,火曜日,
104,12-29,1-4,年末年始,
78,4-1,10-31,定休日なし,
78,11-1,3-31,水曜日,
78,12-30,1-5,年末年始,
73,12-31,1-4,年末年始,
40,1-1,1-3,年始,
7,1-1,12-31,定休日なし,
89,12-31,1-3,年末年始,
47,4-1,10-31,定休日なし,
47,11-1,3-1,木曜日,"木曜日が祝日の場合は翌日（12/30,1/2～7は定休日なし）"
47,12-31,1-1,年末年始,
103,4-1,9-30,定休日なし,
103,10-1,3-31,"第1,第3月曜日",月曜日が祝日の場合は翌日
103,12-31,1-1,年末年始,
96,4-1,11-30,定休日なし,
96,12-1,3-31,水曜日,
96,12-29,1-5,年末年始,
20,1-6,12-30,火曜日,
20,12-31,1-5,年末年始,
77,11-1,3-31,火曜日,
77,12-31,1-5,年末年始,
124,12-30,1-3,年末年始,
108,12-31,1-2,年末年始,
85,1-1,12-31,定休日なし,
43,11-1,3-31,月曜日,月曜日が祝日の場合は翌日
43,12-30,1-3,年末年始,
38,12-31,1-3,年末年始,
87,12-31,1-2,年末年始,
37,12-31,1-3,年末年始,
18,12-31,1-5,年末年始,
80,1-1,12-31,定休日なし,メンテナンスのため年２回休館日あり
111,1-1,1-5,年始,
111,1-6,12-31,月曜日,その他定休日 4/30，7/31，10/31，11/18～19，2/12，3/20
66,12-30,1-4,年末年始,
93,12-31,1-1,年末年始,
8,12-30,1-3,年末年始,
12,4-1,9-30,火曜日,
12,10-1,3-31,"火曜日,第2,第4月曜日",
12,12-30,1-5,年末年始,
27,12-30,1-3,年末年始,
123,12-29,1-3,年末年始,
54,11-1,4-30,木曜日,道の駅窓口
54,12-27,1-5,年末年始,道の駅窓口
67,12-31,1-3,年末年始,
74,1-1,1-2,年始,
48,12-31,1-3,年末年始,
72,12-30,1-4,年末年始,
97,12-31,1-3,年末年始,12/30は午前のみ営業（9:00～12:00）
122,12-31,1-3,年末年始,12/30は午前のみ営業（9:00～12:00）
86,12-31,1-4,年末年始,
129,12-31,1-3,年末年始,
5,12-31,1-2,年末年始,
32,12-30,1-3,年末年始,
94,1-1,12-31,定休日なし,
50,4-8,4-9,メンテナンス休館,
50,11-11,11-12,メンテナンス休館,
28,11-1,4-30,月曜日,
28,12-28,1-6,年末年始,
3,11-1,2025年春頃,リニューアル工事につき休業,
102,,,年始,
55,,,水曜日,せいわ温泉ルオント(水曜日が祝日の場合は翌日）
55,,,火曜日（冬季間休業）,幌加内町物産館
126,12-31,1-5,年末年始,
98,12-29,1-4,年末年始,
98,1-5,12-28,火曜日,
114,12-30,1-1,年末年始,
84,12-30,1-3,年末年始,
109,12-30,1-5,年末年始,
92,12-28,1-4,年末年始,
69,12-30,1-3,年末年始,
31,4-1,10-31,定休日なし,
